Wizardry(NES) BADI 成功率
=========================

(対象のLV) < (術者のLV) の場合の成功率表(ただしLVは 0xFF を超えていたら 0xFF
として計算。以下同様)。

D を以下のように定義する:
  D = (術者のLV) - (対象のLV)

このとき、D の値に対応して値 P が定まり、成功率は (99-P)/100 となる。

BADIの成功率は最大 74/100 である。


レベル差 D と成功率の対応表
---------------------------

実際には LV 0 というケースはありえないので、D==0xFF となることはない。

# D	P	成功率 ((99-P)/100)
#----------------------------------
1	45	54/100
2	40	59/100
3	35	64/100
4	30	69/100
5	25	74/100
6	25	74/100
7	25	74/100
8	25	74/100
9	25	74/100
10	25	74/100
11	25	74/100
12	25	74/100
13	25	74/100
14	25	74/100
15	25	74/100
16	25	74/100
17	25	74/100
18	25	74/100
19	25	74/100
20	25	74/100
21	25	74/100
22	25	74/100
23	25	74/100
24	25	74/100
25	25	74/100
26	25	74/100
27	25	74/100
28	25	74/100
29	25	74/100
30	25	74/100
31	25	74/100
32	25	74/100
33	25	74/100
34	25	74/100
35	25	74/100
36	25	74/100
37	25	74/100
38	25	74/100
39	25	74/100
40	25	74/100
41	25	74/100
42	25	74/100
43	25	74/100
44	25	74/100
45	25	74/100
46	25	74/100
47	25	74/100
48	25	74/100
49	25	74/100
50	25	74/100
51	25	74/100
52	46	53/100
53	41	58/100
54	36	63/100
55	31	68/100
56	26	73/100
57	25	74/100
58	25	74/100
59	25	74/100
60	25	74/100
61	25	74/100
62	25	74/100
63	25	74/100
64	25	74/100
65	25	74/100
66	25	74/100
67	25	74/100
68	25	74/100
69	25	74/100
70	25	74/100
71	25	74/100
72	25	74/100
73	25	74/100
74	25	74/100
75	25	74/100
76	25	74/100
77	25	74/100
78	25	74/100
79	25	74/100
80	25	74/100
81	25	74/100
82	25	74/100
83	25	74/100
84	25	74/100
85	25	74/100
86	25	74/100
87	25	74/100
88	25	74/100
89	25	74/100
90	25	74/100
91	25	74/100
92	25	74/100
93	25	74/100
94	25	74/100
95	25	74/100
96	25	74/100
97	25	74/100
98	25	74/100
99	25	74/100
100	25	74/100
101	25	74/100
102	25	74/100
103	47	52/100
104	42	57/100
105	37	62/100
106	32	67/100
107	27	72/100
108	25	74/100
109	25	74/100
110	25	74/100
111	25	74/100
112	25	74/100
113	25	74/100
114	25	74/100
115	25	74/100
116	25	74/100
117	25	74/100
118	25	74/100
119	25	74/100
120	25	74/100
121	25	74/100
122	25	74/100
123	25	74/100
124	25	74/100
125	25	74/100
126	25	74/100
127	25	74/100
128	25	74/100
129	25	74/100
130	25	74/100
131	25	74/100
132	25	74/100
133	25	74/100
134	25	74/100
135	25	74/100
136	25	74/100
137	25	74/100
138	25	74/100
139	25	74/100
140	25	74/100
141	25	74/100
142	25	74/100
143	25	74/100
144	25	74/100
145	25	74/100
146	25	74/100
147	25	74/100
148	25	74/100
149	25	74/100
150	25	74/100
151	25	74/100
152	25	74/100
153	25	74/100
154	48	51/100
155	43	56/100
156	38	61/100
157	33	66/100
158	28	71/100
159	25	74/100
160	25	74/100
161	25	74/100
162	25	74/100
163	25	74/100
164	25	74/100
165	25	74/100
166	25	74/100
167	25	74/100
168	25	74/100
169	25	74/100
170	25	74/100
171	25	74/100
172	25	74/100
173	25	74/100
174	25	74/100
175	25	74/100
176	25	74/100
177	25	74/100
178	25	74/100
179	25	74/100
180	25	74/100
181	25	74/100
182	25	74/100
183	25	74/100
184	25	74/100
185	25	74/100
186	25	74/100
187	25	74/100
188	25	74/100
189	25	74/100
190	25	74/100
191	25	74/100
192	25	74/100
193	25	74/100
194	25	74/100
195	25	74/100
196	25	74/100
197	25	74/100
198	25	74/100
199	25	74/100
200	25	74/100
201	25	74/100
202	25	74/100
203	25	74/100
204	25	74/100
205	49	50/100
206	44	55/100
207	39	60/100
208	34	65/100
209	29	70/100
210	25	74/100
211	25	74/100
212	25	74/100
213	25	74/100
214	25	74/100
215	25	74/100
216	25	74/100
217	25	74/100
218	25	74/100
219	25	74/100
220	25	74/100
221	25	74/100
222	25	74/100
223	25	74/100
224	25	74/100
225	25	74/100
226	25	74/100
227	25	74/100
228	25	74/100
229	25	74/100
230	25	74/100
231	25	74/100
232	25	74/100
233	25	74/100
234	25	74/100
235	25	74/100
236	25	74/100
237	25	74/100
238	25	74/100
239	25	74/100
240	25	74/100
241	25	74/100
242	25	74/100
243	25	74/100
244	25	74/100
245	25	74/100
246	25	74/100
247	25	74/100
248	25	74/100
249	25	74/100
250	25	74/100
251	25	74/100
252	25	74/100
253	25	74/100
254	25	74/100
255	25	74/100
