Wizardry(NES) MANIFO 成功率
===========================

(対象のLV) < (術者のLV) の場合の成功率表(ただしLVは 0xFF を超えていたら 0xFF
として計算。以下同様)。

D を以下のように定義する:
  D = (術者のLV) - (対象のLV)

このとき、D の値に対応して値 P が定まり、成功率は (99-P)/100 となる。


レベル差 D と成功率の対応表
---------------------------

実際には LV 0 というケースはありえないので、D==0xFF となることはない。

# D	P	成功率 ((99-P)/100)
#----------------------------------
1	45	54/100
2	40	59/100
3	35	64/100
4	30	69/100
5	25	74/100
6	20	79/100
7	15	84/100
8	10	89/100
9	5	94/100
10	0	99/100
11	5	94/100
12	5	94/100
13	5	94/100
14	5	94/100
15	5	94/100
16	5	94/100
17	5	94/100
18	5	94/100
19	5	94/100
20	5	94/100
21	5	94/100
22	5	94/100
23	5	94/100
24	5	94/100
25	5	94/100
26	5	94/100
27	5	94/100
28	5	94/100
29	5	94/100
30	5	94/100
31	5	94/100
32	5	94/100
33	5	94/100
34	5	94/100
35	5	94/100
36	5	94/100
37	5	94/100
38	5	94/100
39	5	94/100
40	5	94/100
41	5	94/100
42	5	94/100
43	5	94/100
44	5	94/100
45	5	94/100
46	5	94/100
47	5	94/100
48	5	94/100
49	5	94/100
50	5	94/100
51	5	94/100
52	46	53/100
53	41	58/100
54	36	63/100
55	31	68/100
56	26	73/100
57	21	78/100
58	16	83/100
59	11	88/100
60	6	93/100
61	1	98/100
62	5	94/100
63	5	94/100
64	5	94/100
65	5	94/100
66	5	94/100
67	5	94/100
68	5	94/100
69	5	94/100
70	5	94/100
71	5	94/100
72	5	94/100
73	5	94/100
74	5	94/100
75	5	94/100
76	5	94/100
77	5	94/100
78	5	94/100
79	5	94/100
80	5	94/100
81	5	94/100
82	5	94/100
83	5	94/100
84	5	94/100
85	5	94/100
86	5	94/100
87	5	94/100
88	5	94/100
89	5	94/100
90	5	94/100
91	5	94/100
92	5	94/100
93	5	94/100
94	5	94/100
95	5	94/100
96	5	94/100
97	5	94/100
98	5	94/100
99	5	94/100
100	5	94/100
101	5	94/100
102	5	94/100
103	47	52/100
104	42	57/100
105	37	62/100
106	32	67/100
107	27	72/100
108	22	77/100
109	17	82/100
110	12	87/100
111	7	92/100
112	2	97/100
113	5	94/100
114	5	94/100
115	5	94/100
116	5	94/100
117	5	94/100
118	5	94/100
119	5	94/100
120	5	94/100
121	5	94/100
122	5	94/100
123	5	94/100
124	5	94/100
125	5	94/100
126	5	94/100
127	5	94/100
128	5	94/100
129	5	94/100
130	5	94/100
131	5	94/100
132	5	94/100
133	5	94/100
134	5	94/100
135	5	94/100
136	5	94/100
137	5	94/100
138	5	94/100
139	5	94/100
140	5	94/100
141	5	94/100
142	5	94/100
143	5	94/100
144	5	94/100
145	5	94/100
146	5	94/100
147	5	94/100
148	5	94/100
149	5	94/100
150	5	94/100
151	5	94/100
152	5	94/100
153	5	94/100
154	48	51/100
155	43	56/100
156	38	61/100
157	33	66/100
158	28	71/100
159	23	76/100
160	18	81/100
161	13	86/100
162	8	91/100
163	3	96/100
164	5	94/100
165	5	94/100
166	5	94/100
167	5	94/100
168	5	94/100
169	5	94/100
170	5	94/100
171	5	94/100
172	5	94/100
173	5	94/100
174	5	94/100
175	5	94/100
176	5	94/100
177	5	94/100
178	5	94/100
179	5	94/100
180	5	94/100
181	5	94/100
182	5	94/100
183	5	94/100
184	5	94/100
185	5	94/100
186	5	94/100
187	5	94/100
188	5	94/100
189	5	94/100
190	5	94/100
191	5	94/100
192	5	94/100
193	5	94/100
194	5	94/100
195	5	94/100
196	5	94/100
197	5	94/100
198	5	94/100
199	5	94/100
200	5	94/100
201	5	94/100
202	5	94/100
203	5	94/100
204	5	94/100
205	49	50/100
206	44	55/100
207	39	60/100
208	34	65/100
209	29	70/100
210	24	75/100
211	19	80/100
212	14	85/100
213	9	90/100
214	4	95/100
215	5	94/100
216	5	94/100
217	5	94/100
218	5	94/100
219	5	94/100
220	5	94/100
221	5	94/100
222	5	94/100
223	5	94/100
224	5	94/100
225	5	94/100
226	5	94/100
227	5	94/100
228	5	94/100
229	5	94/100
230	5	94/100
231	5	94/100
232	5	94/100
233	5	94/100
234	5	94/100
235	5	94/100
236	5	94/100
237	5	94/100
238	5	94/100
239	5	94/100
240	5	94/100
241	5	94/100
242	5	94/100
243	5	94/100
244	5	94/100
245	5	94/100
246	5	94/100
247	5	94/100
248	5	94/100
249	5	94/100
250	5	94/100
251	5	94/100
252	5	94/100
253	5	94/100
254	5	94/100
255	5	94/100
