# PRG #24 $AC45
0x00	$AC5F
0x01	$AC63
0x02	$AC69
0x03	$AC6E
0x04	$AC72
0x05	$AC78
0x06	$AC7D
0x07	$AC80
0x08	$AC85
0x09	$AC8C
0x0A	$AC92
0x0B	$AC97
0x0C	$AC9E
0x0D	$1234
0x0E	$FF38
0x0F	$4769
0x10	$0E6E
0x11	$FF57
0x12	$4255
0x13	$5058
0x14	$37FF
0x15	$5749
0x16	$4FFF
0x17	$0E42
0x18	$5057
0x19	$48FF
0x1A	$0E5F
0x1B	$FF67
0x1C	$4568
0x1D	$4CFF
0x1E	$4669
0x1F	$FF54
0x20	$5C50
0x21	$6A6E
0x22	$504C
0x23	$65FF
0x24	$425A
0x25	$5667
0x26	$51FF
0x27	$6E5C
0x28	$FF50
0x29	$674F
0x2A	$4247
0x2B	$456E
0x2C	$5FFF
0x2D	$656C
0x2E	$FF0E
0x2F	$7F7F
0x30	$7F7F
0x31	$7F7F
0x32	$A2FF
0x33	$A900
0x34	$9D00
0x35	$654D
0x36	$549D
0x37	$9D65
0x38	$655B
0x39	$E0E8
0x3A	$D007
0x3B	$A9F2
0x3C	$8D06
0x3D	$654D
0x3E	$01A9
0x3F	$548D
0x40	$8D65
0x41	$655B
0x42	$05A9
0x43	$628D
0x44	$A265
0x45	$A900
0x46	$9D00
0x47	$0700
0x48	$D0E8
0x49	$A2FA
0x4A	$A900
0x4B	$9DF0
0x4C	$0700
0x4D	$E8E8
0x4E	$E8E8
0x4F	$F7D0
0x50	$5A20
0x51	$A2C0
0x52	$A900
0x53	$9D00
0x54	$6F00
0x55	$E0E8
0x56	$D010
0x57	$A9F8
0x58	$8510
0x59	$A9E0
0x5A	$8507
0x5B	$A9E2
0x5C	$85F0
0x5D	$20E1
0x5E	$C060
0x5F	$30A9
0x60	$748D
0x61	$8D65
0x62	$6578
0x63	$798D
0x64	$A965
0x65	$8D02
0x66	$6576
0x67	$0FA9
0x68	$7A8D
0x69	$2065
0x6A	$C05D
0x6B	$FC20
0x6C	$A984
0x6D	$851F
0x6E	$A9E2
0x6F	$85D0
0x70	$A2E1
0x71	$BD00
0x72	$84DC
0x73	$009D
0x74	$E86F
0x75	$10E0
0x76	$F5D0
0x77	$E086
0x78	$6020
0x79	$A9C0
0x7A	$851F
0x7B	$A9E2
0x7C	$85F0
0x7D	$A2E1
0x7E	$BD00
0x7F	$84EC
