# PRG #24 $ABCD
0x00	$7000
0x01	$7046
0x02	$708C
0x03	$70D2
0x04	$7118
0x05	$715E
0x06	$71A4
0x07	$71EA
0x08	$7230
0x09	$7276
0x0A	$72BC
0x0B	$7302
0x0C	$7348
0x0D	$738E
0x0E	$77FE
0x0F	$7844
0x10	$788A
0x11	$78D0
0x12	$7916
0x13	$795C
0x14	$79A2
0x15	$79E8
0x16	$7A2E
0x17	$7A74
0x18	$7ABA
0x19	$7B00
0x1A	$7B46
0x1B	$7B8C
0x1C	$AC09
0x1D	$AC25
0x1E	$73FE
0x1F	$7444
0x20	$748A
0x21	$74D0
0x22	$7516
0x23	$755C
0x24	$75A2
0x25	$75E8
0x26	$762E
0x27	$7674
0x28	$76BA
0x29	$7700
0x2A	$7746
0x2B	$778C
0x2C	$7BFC
0x2D	$7C42
0x2E	$7C88
0x2F	$7CCE
0x30	$7D14
0x31	$7D5A
0x32	$7DA0
0x33	$7DE6
0x34	$7E2C
0x35	$7E72
0x36	$7EB8
0x37	$7EFE
0x38	$7F44
0x39	$7F8A
0x3A	$77FC
0x3B	$7FFA
0x3C	$AC5F
0x3D	$AC63
0x3E	$AC69
0x3F	$AC6E
0x40	$AC72
0x41	$AC78
0x42	$AC7D
0x43	$AC80
0x44	$AC85
0x45	$AC8C
0x46	$AC92
0x47	$AC97
0x48	$AC9E
0x49	$1234
0x4A	$FF38
0x4B	$4769
0x4C	$0E6E
0x4D	$FF57
0x4E	$4255
0x4F	$5058
0x50	$37FF
0x51	$5749
0x52	$4FFF
0x53	$0E42
0x54	$5057
0x55	$48FF
0x56	$0E5F
0x57	$FF67
0x58	$4568
0x59	$4CFF
0x5A	$4669
0x5B	$FF54
0x5C	$5C50
0x5D	$6A6E
0x5E	$504C
0x5F	$65FF
0x60	$425A
0x61	$5667
0x62	$51FF
0x63	$6E5C
0x64	$FF50
0x65	$674F
0x66	$4247
0x67	$456E
0x68	$5FFF
0x69	$656C
0x6A	$FF0E
0x6B	$7F7F
0x6C	$7F7F
0x6D	$7F7F
0x6E	$A2FF
0x6F	$A900
0x70	$9D00
0x71	$654D
0x72	$549D
0x73	$9D65
0x74	$655B
0x75	$E0E8
0x76	$D007
0x77	$A9F2
0x78	$8D06
0x79	$654D
0x7A	$01A9
0x7B	$548D
0x7C	$8D65
0x7D	$655B
0x7E	$05A9
0x7F	$628D
