# PRG #24 $ABE9
0x00	$77FE
0x01	$7844
0x02	$788A
0x03	$78D0
0x04	$7916
0x05	$795C
0x06	$79A2
0x07	$79E8
0x08	$7A2E
0x09	$7A74
0x0A	$7ABA
0x0B	$7B00
0x0C	$7B46
0x0D	$7B8C
0x0E	$AC09
0x0F	$AC25
0x10	$73FE
0x11	$7444
0x12	$748A
0x13	$74D0
0x14	$7516
0x15	$755C
0x16	$75A2
0x17	$75E8
0x18	$762E
0x19	$7674
0x1A	$76BA
0x1B	$7700
0x1C	$7746
0x1D	$778C
0x1E	$7BFC
0x1F	$7C42
0x20	$7C88
0x21	$7CCE
0x22	$7D14
0x23	$7D5A
0x24	$7DA0
0x25	$7DE6
0x26	$7E2C
0x27	$7E72
0x28	$7EB8
0x29	$7EFE
0x2A	$7F44
0x2B	$7F8A
0x2C	$77FC
0x2D	$7FFA
0x2E	$AC5F
0x2F	$AC63
0x30	$AC69
0x31	$AC6E
0x32	$AC72
0x33	$AC78
0x34	$AC7D
0x35	$AC80
0x36	$AC85
0x37	$AC8C
0x38	$AC92
0x39	$AC97
0x3A	$AC9E
0x3B	$1234
0x3C	$FF38
0x3D	$4769
0x3E	$0E6E
0x3F	$FF57
0x40	$4255
0x41	$5058
0x42	$37FF
0x43	$5749
0x44	$4FFF
0x45	$0E42
0x46	$5057
0x47	$48FF
0x48	$0E5F
0x49	$FF67
0x4A	$4568
0x4B	$4CFF
0x4C	$4669
0x4D	$FF54
0x4E	$5C50
0x4F	$6A6E
0x50	$504C
0x51	$65FF
0x52	$425A
0x53	$5667
0x54	$51FF
0x55	$6E5C
0x56	$FF50
0x57	$674F
0x58	$4247
0x59	$456E
0x5A	$5FFF
0x5B	$656C
0x5C	$FF0E
0x5D	$7F7F
0x5E	$7F7F
0x5F	$7F7F
0x60	$A2FF
0x61	$A900
0x62	$9D00
0x63	$654D
0x64	$549D
0x65	$9D65
0x66	$655B
0x67	$E0E8
0x68	$D007
0x69	$A9F2
0x6A	$8D06
0x6B	$654D
0x6C	$01A9
0x6D	$548D
0x6E	$8D65
0x6F	$655B
0x70	$05A9
0x71	$628D
0x72	$A265
0x73	$A900
0x74	$9D00
0x75	$0700
0x76	$D0E8
0x77	$A2FA
0x78	$A900
0x79	$9DF0
0x7A	$0700
0x7B	$E8E8
0x7C	$E8E8
0x7D	$F7D0
0x7E	$5A20
0x7F	$A2C0
