あのせい もかせい くのせて ちにみげ
うひたえ むくたえ かひたて ちにみぶ
えはちう みけちう きはちか ほいさこ
えみのの ぽらひち まくてぎ ひそぜほ
かてこき まあこき うてこて ちにみみ
かまとと ぶりつこ みいはあ ぷろぐれ
きつさか ほいさか えつさか ほいさか
ぎりぎろ やへやべ しきいき にみのひ
くじへれ くじへれ きじへこ ぎいびべ
くじへれ くじへれ きじへむ ぽにぞる
げだぼぼ つせぶや でがぺぽ うふりめ
げべやご だわやご ぎべやざ ずぐなり
げよげゆ れもれぽ せえけつ いさつも
ごぶゆげ ぞがゆげ ぐぶゆざ ずぐえで
ざけぜた ざけぜた ごけぜこ ぎいびが
さやはが さやはが しやはび のぺわご
さやはが さやはが しやはび のぺわぜ
じゆじよ るみるぴ ちあかき にみきち
すよにぐ すよにぐ こよにこ ぎいろど
ぜざろろ そてるぷ がでらぎ ひそぜぎ
ぞごりり たとれぺ ぎびやあ ぷろぐぞ
ぞごりり たとれぺ ぎびやぎ ひそゆし
ぞごりり たとれぺ ぎびやの わぞざと
そとまま ぜごへい のこもぽ うふでば
ぞぴぞぽ ぶいぶゆ とむへぼ ぐらほま
ちいちう きぴきみ じやりき にみきぽ
つきみて ちにみて はきみざ ずぐなつ
つちくく げずかみ このうぎ ひそゆざ
とけめな そはめな にけめぱ るぺはず
とぱそぞ とぱそぞ てぱそこ ぎいびぷ
とみとも ふゆふい ぞぷべつ いさつじ
どやべで ぎぜべで だやべか ほいさぴ
なぼせだ なぼせだ つぼせこ ぎいろて
のぴしど のぴしど はぴしむ ぽによゆ
ぱどぱば ぜこぜわ まにつじ ぺばちだ
ぱどぱば ぜこぜわ まにつぼ ぐらしぱ
ぴがずぷ らぶずぷ ぼがずざ ずぐなあ
ふぜけぶ ふぜけぶ まぜけむ ぽにぞき
ぷによむ ぷによむ ぺによむ ぽによむ
ぶばぶど ぞすぞぐ ふひなぼ ぐらほぐ
へずくべ へずくべ ほずくび のぺわさ
へひへに なぎなし べばぞぼ ぐらしす
ぺゆわわ うめぎぞ れぱげあ ぷろぐよ
べれじじ きへごど ゆぴぐぎ ひそぜう
ほきせせ れぼたは うもこあ ぷろぐく
ぽぎだぺ やぱだぺ べぎだざ ずぐえや
ぼでぼび ずさずが ほのてつ いさつえ
ぽはやも ぽはやも ぴはやむ ぽによの
まのまは てわてこ ぱでずじ ぺばちび
みえしし やぴこつ かへたあ ぷろぐた
むなむつ ひざひた ぷぞばじ ぺばちな
めつめな にごにそ ぺぜどぼ ぐらほけ
めびいぺ めびいぺ むびいむ ぽにぞそ
もてもと のげのせ ぽずでじ ぺばちら
やどげゆ ぽりげゆ れどげて ちにみふ
やどげゆ ぽりげゆ れどげぱ るぺはせ
らごらざ がつがず えせこぼ ぐらしろ
りそぱか りそぱか ろそぱよ あぐぷへ
りぱぞぞ ふかずわ ぴゆばあ ぷろぐぼ
るずがり ぼゆがり らずがか ほいさに
れべずず ほくぞぎ ぺらであ ぷろぐぺ
ろたぶけ ろたぶけ りたぶび のぺわい
ろぶぜぜ まけだぐ ぽよどあ ぷろぱは
わぷりが びげりが ざぷりか ほいへわ
